epoch,accuracy,loss,val_accuracy,val_loss
0,0.46969276666641235,1.2335079908370972,0.5561959743499756,1.0932440757751465
1,0.6388043165206909,0.8793520331382751,0.5619596838951111,1.0768687725067139
2,0.7138112187385559,0.7064493298530579,0.5648415088653564,1.1090905666351318
3,0.7843896746635437,0.5568364262580872,0.579250693321228,1.1709668636322021
4,0.8402988910675049,0.4470776915550232,0.5677233338356018,1.2531605958938599
5,0.8635482788085938,0.3908717632293701,0.5446686148643494,1.4285732507705688
6,0.8856905698776245,0.31293344497680664,0.5561959743499756,1.5360506772994995
7,0.9183503985404968,0.24732883274555206,0.5763688683509827,1.657588005065918
8,0.9341267347335815,0.20098143815994263,0.5417867302894592,1.636762022972107
9,0.9385552406311035,0.17682185769081116,0.5475504398345947,1.8584967851638794
10,0.9429836869239807,0.16210485994815826,0.5504322648048401,2.094938039779663
11,0.9371713399887085,0.17566755414009094,0.5100864768028259,1.9817897081375122
12,0.9463050365447998,0.15639090538024902,0.5648415088653564,2.187284469604492
13,0.950179934501648,0.13945215940475464,0.5677233338356018,2.04899001121521
14,0.9579296708106995,0.1259923130273819,0.5331411957740784,2.3401687145233154
15,0.9651259183883667,0.1054062619805336,0.5389049053192139,2.264369487762451
16,0.9612510204315186,0.10782184451818466,0.5475504398345947,2.4634041786193848
17,0.9460282325744629,0.16773627698421478,0.5504322648048401,2.2457029819488525
18,0.9665098190307617,0.09352573752403259,0.5446686148643494,2.510420322418213
19,0.952117383480072,0.1315188705921173,0.5417867302894592,2.4891796112060547
20,0.9637420177459717,0.10264855623245239,0.5533141493797302,2.3578948974609375
21,0.9723221659660339,0.08330627530813217,0.5619596838951111,2.2878341674804688
22,0.9706615209579468,0.0888943299651146,0.5619596838951111,2.5564510822296143
23,0.9759202599525452,0.07551739364862442,0.579250693321228,2.500791549682617
24,0.9767506122589111,0.0682404413819313,0.5677233338356018,2.5592520236968994
