epoch,accuracy,loss,val_accuracy,val_loss
0,0.3636866807937622,1.3294665813446045,0.4755043089389801,1.284322738647461
1,0.6476612091064453,0.990630030632019,0.6685879230499268,0.9320935606956482
2,0.7913091778755188,0.5877560377120972,0.6599423885345459,0.8267526030540466
3,0.845004141330719,0.4139230251312256,0.6916426420211792,0.8450853228569031
4,0.8848602175712585,0.32530099153518677,0.6714697480201721,0.8653786182403564
5,0.9094935059547424,0.2671121060848236,0.6743515729904175,0.9328218102455139
6,0.9283144474029541,0.2213868498802185,0.6714697480201721,1.0094610452651978
7,0.9424301385879517,0.184120312333107,0.6541786789894104,1.0451048612594604
8,0.9532244801521301,0.15287810564041138,0.6743515729904175,1.112817645072937
9,0.9604207277297974,0.13779416680335999,0.6628242135047913,1.1661744117736816
10,0.9634652733802795,0.12749671936035156,0.6484149694442749,1.2047724723815918
11,0.9634652733802795,0.11671857535839081,0.6685879230499268,1.2956427335739136
12,0.9687240719795227,0.10360687226057053,0.6599423885345459,1.3513133525848389
13,0.9701079726219177,0.09530507028102875,0.6570605039596558,1.3546779155731201
14,0.9706615209579468,0.09737510234117508,0.6599423885345459,1.4298707246780396
15,0.9725989699363708,0.08844589442014694,0.639769434928894,1.4820159673690796
16,0.9753667116165161,0.0817391499876976,0.6685879230499268,1.4763572216033936
17,0.974259614944458,0.08327710628509521,0.651296854019165,1.5182850360870361
18,0.9731525182723999,0.07865066081285477,0.6570605039596558,1.5024698972702026
19,0.9753667116165161,0.0723407045006752,0.6570605039596558,1.5555771589279175
20,0.977027416229248,0.07084666937589645,0.6599423885345459,1.5716333389282227
21,0.9767506122589111,0.06815730780363083,0.6570605039596558,1.5882290601730347
22,0.9767506122589111,0.06419183313846588,0.6541786789894104,1.65166175365448
23,0.975643515586853,0.06633076816797256,0.6714697480201721,1.6366846561431885
24,0.976473867893219,0.06112058460712433,0.6570605039596558,1.666966199874878
